ACap1,ACap2,ACap3,BCap1,BCap2,BCap3
An Giang,Huyện Châu Phú,Xã Ô Long Vĩ,AG,HCP,XOLV
An Giang,Huyện Châu Phú,Xã Bình Phú,AG,HCP,XBP
An Giang,Huyện Châu Phú,Thị trấn Vĩnh Thạnh Trung,AG,HCP,TtVTT
An Giang,Huyện Châu Phú,Xã Khánh Hòa,AG,HCP,XKH
An Giang,Huyện Châu Phú,Xã Đào Hữu Cảnh,AG,HCP,XDHC
An Giang,Huyện Châu Phú,Xã Bình Chánh,AG,HCP,XBC
An Giang,Huyện Châu Phú,Xã Mỹ Đức,AG,HCP,XMD
An Giang,Huyện Châu Phú,Xã Bình Thủy,AG,HCP,XBT
An Giang,Huyện Châu Phú,Xã Mỹ Phú,AG,HCP,XMP
An Giang,Huyện Châu Phú,Xã Thạnh Mỹ Tây,AG,HCP,XTMT
An Giang,Huyện Châu Phú,Xã Bình Long,AG,HCP,XBL
An Giang,Huyện Châu Phú,Xã Bình Mỹ,AG,HCP,XBM
An Giang,Huyện Châu Phú,Thị trấn Cái Dầu,AG,HCP,TtCD
An Giang,Thành Phố Châu Đốc,Phường Châu Phú A,AG,TPCD,PCPA
An Giang,Thành Phố Châu Đốc,Phường Núi Sam,AG,TPCD,PNS
An Giang,Thành Phố Châu Đốc,Phường Vĩnh Mỹ,AG,TPCD,PVM
An Giang,Thành Phố Châu Đốc,Xã Vĩnh Tế,AG,TPCD,XVT
An Giang,Thành Phố Châu Đốc,Phường Châu Phú B,AG,TPCD,PCPB
An Giang,Thành Phố Châu Đốc,Xã Vĩnh Châu,AG,TPCD,XVC
An Giang,Thành Phố Châu Đốc,Phường Vĩnh Ngươn,AG,TPCD,PVN
An Giang,Thị Xã Tân Châu,Xã Phú Lộc,AG,TXTC,XPL
An Giang,Thị Xã Tân Châu,Xã Tân Thạnh,AG,TXTC,XTT
An Giang,Thị Xã Tân Châu,Xã Phú Vĩnh,AG,TXTC,XPV
An Giang,Thị Xã Tân Châu,Xã Vĩnh Hòa,AG,TXTC,XVH
An Giang,Thị Xã Tân Châu,Phường Long Hưng,AG,TXTC,PLH
An Giang,Thị Xã Tân Châu,Xã Châu Phong,AG,TXTC,XCP
An Giang,Thị Xã Tân Châu,Xã Lê Chánh,AG,TXTC,XLC
An Giang,Thị Xã Tân Châu,Phường Long Châu,AG,TXTC,PLC
An Giang,Thị Xã Tân Châu,Xã Long An,AG,TXTC,XLA
An Giang,Thị Xã Tân Châu,Phường Long Phú,AG,TXTC,PLP
An Giang,Thị Xã Tân Châu,Xã Tân An,AG,TXTC,XTA
An Giang,Thị Xã Tân Châu,Xã Vĩnh Xương,AG,TXTC,XVX
An Giang,Thị Xã Tân Châu,Phường Long Thạnh,AG,TXTC,PLT
An Giang,Thị Xã Tân Châu,Phường Long Sơn,AG,TXTC,PLS
An Giang,Huyện Phú Tân,Xã Phú Bình,AG,HPT,XPB
An Giang,Huyện Phú Tân,Xã Phú Long,AG,HPT,XPL
An Giang,Huyện Phú Tân,Xã Phú Xuân,AG,HPT,XPX
An Giang,Huyện Phú Tân,Xã Tân Trung,AG,HPT,XTT
An Giang,Huyện Phú Tân,Xã Phú Lâm,AG,HPT,XPL
An Giang,Huyện Phú Tân,Xã Phú Thọ,AG,HPT,XPT
An Giang,Huyện Phú Tân,Xã Long Hòa,AG,HPT,XLH
An Giang,Huyện Phú Tân,Xã Bình Thạnh Đông,AG,HPT,XBTD
An Giang,Huyện Phú Tân,Xã Phú Thành,AG,HPT,XPT
An Giang,Huyện Phú Tân,Xã Hiệp Xương,AG,HPT,XHX
An Giang,Huyện Phú Tân,Thị trấn Phú Mỹ,AG,HPT,TtPM
An Giang,Huyện Phú Tân,Thị trấn Chợ Vàm,AG,HPT,TtCV
An Giang,Huyện Phú Tân,Xã Phú Hưng,AG,HPT,XPH
An Giang,Huyện Phú Tân,Xã Phú An,AG,HPT,XPA
An Giang,Huyện Phú Tân,Xã Phú Hiệp,AG,HPT,XPH
An Giang,Huyện Phú Tân,Xã Phú Thạnh,AG,HPT,XPT
An Giang,Huyện Phú Tân,Xã Tân Hòa,AG,HPT,XTH
An Giang,Huyện Phú Tân,Xã Hòa Lạc,AG,HPT,XHL
An Giang,Huyện An Phú,Xã Vĩnh Hậu,AG,HAP,XVH
An Giang,Huyện An Phú,Thị trấn Long Bình,AG,HAP,TtLB
An Giang,Huyện An Phú,Xã Quốc Thái,AG,HAP,XQT
An Giang,Huyện An Phú,Xã Nhơn Hội,AG,HAP,XNH
An Giang,Huyện An Phú,Xã Vĩnh Lộc,AG,HAP,XVL
An Giang,Huyện An Phú,Xã Đa Phước,AG,HAP,XDP
An Giang,Huyện An Phú,Xã Phước Hưng,AG,HAP,XPH
An Giang,Huyện An Phú,Xã Vĩnh Hội Đông,AG,HAP,XVHD
An Giang,Huyện An Phú,Thị trấn An Phú,AG,HAP,TtAP
An Giang,Huyện An Phú,Xã Phú Hội,AG,HAP,XPH
An Giang,Huyện An Phú,Xã Khánh An,AG,HAP,XKA
An Giang,Huyện An Phú,Xã Khánh Bình,AG,HAP,XKB
An Giang,Huyện An Phú,Xã Phú Hữu,AG,HAP,XPH
An Giang,Huyện An Phú,Xã Vĩnh Trường,AG,HAP,XVT
An Giang,Huyện Tịnh Biên,Xã Vĩnh Trung,AG,HTB,XVT
An Giang,Huyện Tịnh Biên,Xã Nhơn Hưng,AG,HTB,XNH
An Giang,Huyện Tịnh Biên,Xã An Cư,AG,HTB,XAC
An Giang,Huyện Tịnh Biên,Xã An Phú,AG,HTB,XAP
An Giang,Huyện Tịnh Biên,Xã Tân Lập,AG,HTB,XTL
An Giang,Huyện Tịnh Biên,Xã An Hảo,AG,HTB,XAH
An Giang,Huyện Tịnh Biên,Xã Núi Voi,AG,HTB,XNV
An Giang,Huyện Tịnh Biên,Xã Thới Sơn,AG,HTB,XTS
